SEXO,ESTADO,SEM_CURSADOS,CREDITOS,APROBO,PONDERADO,BECA_VIGENTE,ESTADO_CIVIL_D,ESTADO_CIVIL_S,FFH,COLEGIO_PRIVADO,CRED_X_SEM,HRS_FALTA_RATIO,EDAD,IDH,POR_POBREZA,POR_POBREZA_EXTREMA,Tasa_Analfabetismo,Tasa_Desempleo2019
0,1,19,282,72,17.46,0,0,1,False,False,15.0,0.14,24.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,0,4.7614,0,0,1,False,True,22.0,0.28,17.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,0,4.1705,0,0,1,False,True,22.0,0.26,29.0,0.7622,0.7,0.0,3.1,3.4
0,-1,9,135,20,10.1336,0,0,1,True,True,15.0,0.16,21.0,0.6435,5.4,0.6,3.1,3.4
0,1,10,218,71,14.8671,0,0,1,True,True,22.0,0.04,24.0,0.6362,7.4,0.9,3.1,3.4
0,-1,6,85,12,12.2,0,0,1,False,True,14.0,0.18,19.0,0.7888,0.1,0.0,4.4,3.4
0,-1,1,22,0,7.7681,0,0,1,False,True,22.0,0.09,18.0,0.6435,5.4,0.6,3.1,3.4
1,1,12,215,66,13.27,0,0,1,False,True,18.0,0.08,22.0,0.7622,0.7,0.0,3.1,3.4
0,1,15,261,72,15.15,0,0,1,False,True,17.0,0.09,23.0,0.7622,0.7,0.0,3.1,3.4
1,1,17,259,73,12.55,0,0,1,False,True,15.0,0.09,23.0,0.8372,0.5,0.0,4.4,3.4
0,1,21,287,72,11.6,0,0,1,True,False,14.0,0.12,24.0,0.7622,0.7,0.0,3.1,3.4
0,1,11,223,71,14.2133,0,0,1,True,True,20.0,0.18,23.0,0.7622,0.7,0.0,3.1,3.4
1,1,10,215,71,15.798,0,0,1,False,True,22.0,0.04,21.0,0.7622,0.7,0.0,3.1,3.4
1,1,18,260,71,14.84,0,0,1,True,True,14.0,0.06,24.0,0.7622,0.7,0.0,3.1,3.4
1,1,13,236,71,13.324,0,0,1,False,True,18.0,0.06,22.0,0.7622,0.7,0.0,3.1,3.4
0,1,11,217,71,14.805,0,0,1,False,True,20.0,0.13,24.0,0.7622,0.7,0.0,3.1,3.4
1,1,10,215,71,16.0067,0,0,1,False,True,22.0,0.06,21.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,0,0.0,0,0,1,False,True,22.0,0.68,19.0,0.7647,8.0,0.3,4.4,3.4
0,-1,12,116,19,8.775,0,0,1,False,True,10.0,0.23,29.0,0.7622,0.7,0.0,3.1,3.4
1,-1,1,22,3,9.819,0,0,1,True,True,22.0,0.1,17.0,0.7622,0.7,0.0,3.1,3.4
0,-1,4,67,11,9.7557,0,0,1,False,True,17.0,0.06,19.0,0.7622,0.7,0.0,3.1,3.4
1,-1,1,22,7,16.581,0,0,1,True,True,22.0,0.09,19.0,0.7622,0.7,0.0,3.1,3.4
0,-1,6,93,15,11.5013,0,0,1,False,True,16.0,0.07,19.0,0.7366,5.5,0.1,3.3,3.4
0,1,6,35,8,15.18,0,0,1,False,True,6.0,0.27,26.0,0.6456,6.4,0.6,3.1,3.4
0,1,20,316,72,13.814,0,0,1,False,True,16.0,0.05,28.0,0.7622,0.7,0.0,3.1,3.4
0,-1,4,86,25,14.555,0,0,1,False,True,22.0,0.11,18.0,0.8236,0.5,0.0,4.4,3.4
1,-1,4,65,13,12.0333,0,0,1,False,False,16.0,0.08,18.0,0.7622,0.7,0.0,3.1,3.4
1,1,11,215,70,14.31,0,0,1,True,True,20.0,0.11,23.0,0.7622,0.7,0.0,3.1,3.4
1,1,15,243,71,15.21,0,0,1,True,True,16.0,0.08,22.0,0.7622,0.7,0.0,3.1,3.4
1,1,15,261,72,12.55,0,0,1,False,False,17.0,0.15,28.0,0.6832,6.2,0.3,4.3,3.4
0,-1,1,22,0,7.2252,0,0,1,False,True,22.0,0.19,17.0,0.7622,0.7,0.0,3.1,3.4
